Decision,ProjSize,TotalFilesProj,AverageBytes/s,Deadline,CompilationTime
Accept,5546,2,959.0061528389167,2.249,5.7830703,
Reject,9469,4,959.0061528389167,10.82,0,
Reject,17694,2,959.0061528389167,21.972,0,
Reject,26760,3,959.0061528389167,34.365,0,
Accept,2108,1,1170.1761095169868,2.564,0.7578255,
Accept,16641,3,2431.479111218625,6.749,6.8439823,
Accept,27123,2,3710.7023040748363,11.001,7.309398,
Accept,7372,2,1695.361290223874,12.054,2.3221118,
Accept,20245,3,3637.40526682398,8.276,3.2967629,
Accept,37034,2,4056.0022023806837,10.786,8.508394200000001,
Reject,59493,5,4056.0022023806837,15.164,0,
Accept,6309,9,1351.645688019015,4.741,6.921454399999999,
Accept,21019,5,3460.2411716089173,6.226,6.5936375,
Accept,270,1,1244.5401023396187,0.241,1.5753643,
Reject,64474,3,1244.5401023396187,62.2,0,
Accept,19560,2,4371.735425226951,7.046,3.3318113,
Accept,9193,4,3405.362621407524,3.312,2.9692457999999995,
Accept,5177,3,1273.4764046176801,4.813,3.670795,
Accept,177,1,1263.4622123684971,0.735,0.3067798,
Accept,5604,4,3081.03870459202,2.782,3.8929592,
Accept,3774,2,1260.935941139069,3.217,3.0357640999999997,
Reject,10088,6,1260.935941139069,9.155,0,
Reject,1633,2,1260.935941139069,1.644,0,
Accept,52709,5,6132.834803113306,26.17,4.0955742,
Accept,1498,1,2959.7805237378707,2.449,1.4728387,
Accept,2138,1,5920.520663313149,3.496,1.158845,
Accept,2544,4,2748.540826163725,0.909,2.8522982,
Accept,13515,3,5640.3555824002515,4.833,3.5586391,
Accept,64993,2,4543.261515885936,23.538,3.275467,
Accept,20202,1,5837.670848722952,4.727,2.5492796,
Accept,2032,1,5631.233462776464,0.424,1.4427333,
Accept,8725,3,4402.4012037759285,1.972,2.980066,
Accept,7699,1,5595.828310793656,2.212,1.5716985,
Accept,21916,3,5090.72475293985,6.299,4.0226011999999995,
Accept,8865,3,5228.024883302601,2.96,3.9839733,
Reject,53617,7,5228.024883302601,11.42,0,
Reject,55320,5,5228.024883302601,10.988,0,
Accept,304,2,4912.954150552542,1.264,0.9930189,
Accept,77202,5,6227.372664127388,25.779,7.055809699999999,
Reject,78945,8,6227.372664127388,13.92,0,
Reject,39566,2,6227.372664127388,7.478,0,
Accept,3417,2,1396.791973118479,0.982,2.4463198999999998,
Reject,49268,7,1396.791973118479,44.683,0,
Accept,144,1,1284.744241190762,0.598,0.325438,
Reject,50013,3,1284.744241190762,46.917,0,
Reject,60778,4,1284.744241190762,56.473,0,
Accept,11625,2,3003.2299253455167,3.341,3.8708325,
Reject,39790,7,3003.2299253455167,14.292,0,
Accept,19750,3,4268.391624218323,5.676,4.627035599999999,
Reject,53592,7,4268.391624218323,15.681,0,
Accept,160,1,2509.15719953955,0.665,0.8259637,
Accept,177,1,4028.7618864851916,0.735,0.319149,
Accept,5420,5,1181.4918259604262,4.752,4.8296489000000005,
Reject,21351,3,1181.4918259604262,20.61,0,
Reject,28802,3,1181.4918259604262,24.225,0,
Accept,3601,3,2886.859476519911,1.787,3.2038484,
Reject,24346,4,2886.859476519911,10.628,0,
Accept,6807,4,2166.7320093154094,3.379,3.8838681,
Accept,4562,1,1545.2600366396525,3.943,1.1628139,
Reject,49326,3,1545.2600366396525,37.865,0,
Reject,5786,3,1545.2600366396525,4.413,0,
Reject,25898,2,1545.2600366396525,20.712,0,
Accept,1498,1,1472.5065474214073,2.449,1.4503349,
Accept,2694,5,2179.022422665915,0.963,3.8838037,
Reject,72771,3,2179.022422665915,39.827,0,
Accept,13082,4,3102.719620832264,6.981,2.6277992,
Accept,20912,3,2886.4539714545294,11.908,4.295541999999999,
Accept,14254,6,2975.5100839491247,5.097,5.2268732,
Accept,29519,4,2564.5902943264487,22.216,7.1605394,
Reject,2397,3,2975.5100839491247,0.833,0,
Accept,270,1,2661.930910909568,0.117,1.4787469,
Reject,12988,3,2661.930910909568,6.008,0,
Reject,62557,2,2661.930910909568,24.971,0,
Accept,5799,3,2963.5525886150895,2.089,2.0190524,
Accept,2615,2,2489.047177274499,1.06,2.287516,
Accept,6628,1,2625.0582339652533,10.837,1.4836892,
Accept,80633,2,5882.140045204131,29.415,5.0476253,
Accept,6391,3,2555.1293642362843,2.513,3.0918270999999997,
Accept,4434,3,5320.757311866777,0.863,3.2074837,
Reject,6888,2,5320.757311866777,1.358,0,
Accept,20797,3,5425.148651796117,8.435,3.3387382000000003,
Accept,2882,2,5237.620529276547,4.712,1.5902949,
Accept,53931,3,6670.809819040666,18.008,4.432238399999999,
Accept,47264,1,17970.552612363004,15.782,2.6300805,
Accept,23547,1,7281.970438669833,7.862,3.2336028,
Accept,49258,1,16650.76349293279,5.015,3.1667708,
Accept,8884,1,14161.151039895294,3.177,1.6464702,
Accept,43384,1,23092.127251449427,21.54,0.0,
Accept,24372,5,4586.098947321899,3.721,7.215146899999999,
Accept,19030,8,1730.198123414205,6.354,10.998740399999999,
Reject,24576,6,1730.198123414205,16.738,0,
Accept,16584,1,19303.001433817524,4.766,2.1239472,
Accept,30595,1,15649.275686464247,5.958,3.9552917,
Accept,6700,7,3339.5560147131728,2.396,5.906418400000001,
Accept,6784,8,1507.8335850789638,4.578,6.121186000000001,
Accept,59464,1,16889.56379641567,5.532,2.6011576,
Accept,6628,1,15563.625218312181,10.837,1.7143256,
Reject,38423,1,15563.625218312181,3.024,0,
Accept,8518,4,3169.274268218126,4.229,3.5664274000000002,
Accept,60431,1,16736.18548915549,14.141,2.4311023,
Accept,8519,5,1548.7055862955801,7.21,5.0489095,
Accept,8950,3,3070.5243826266196,3.117,3.5555019,
Reject,18413,2,3070.5243826266196,7.195,0,
Accept,25706,1,15427.175561809945,10.426,3.301285,
Accept,9258,3,1661.192757512068,6.921,4.0719479000000005,
Reject,17740,6,1661.192757512068,10.736,0,
Accept,25742,1,15446.945261857118,9.274,1.6375917,
Accept,7664,3,2909.7793205791713,2.496,3.9308229999999997,
Accept,2138,1,2855.427915698789,3.496,1.2704432,
Reject,33205,1,2855.427915698789,12.977,0,
Accept,8103,3,1783.9356460486156,4.931,2.7367189,
Accept,2242,2,1735.9588556637498,3.666,2.0923580999999998,
Reject,24891,7,1735.9588556637498,15.83,0,
Accept,20202,1,3227.8520464370463,8.619,2.9497899,
Accept,11732,1,3436.6319775962147,4.758,1.4923554,
Accept,4832,2,1705.789317868038,3.275,2.7806914999999996,
Accept,47673,9,12746.563188403916,5.012,8.868579599999999,
Accept,17334,1,3661.5118411621283,6.245,2.6999406,
Reject,47429,6,3661.5118411621283,14.585,0,
Accept,177,1,12636.098887229702,0.735,0.3031619,
Accept,160,1,3594.9347821444953,0.665,0.7078905,
Accept,11872,5,1662.8795758874617,8.508,5.6358432999999994,
Accept,12437,7,2030.6198024061396,8.278,4.3814288,
Reject,47548,6,2030.6198024061396,23.921,0,
Accept,144,1,2050.16091652045,0.598,0.3077304,
