ProjSize,TotalFilesProj,AverageBytes/s,Deadline,CompilationTime,Diff
1514,1,1158.252391458401,0.294,1.3071417,0.0
7372,2,2534.9331387849647,12.054,2.1982762,0.0
2615,2,1919.3458530222322,1.06,2.4867277999999997,40.04309807706844
31719,5,4449.521872439156,6.177,7.1286311,0.0
33515,3,4346.855488760094,6.527,7.7101712,0.0
2138,1,3958.6988575207024,3.496,1.4239265,0.0
1498,1,3747.1051517778255,2.449,1.633842,0.0
39437,3,4781.251636462641,20.935,4.66155,1.0116609161023906
6888,2,4450.196931565128,1.548,2.3403359999999997,1.2509796217215046
144,1,4340.31820334995,0.598,0.3621319,1.4090751804377308
9753,5,3213.051935748235,2.707,4.5885347,1.5393261106390448
2491,2,3924.108019599888,0.897,2.0514143000000002,8.051784587530282
22613,8,3198.078638301497,5.817,9.1049194,1.403125961512332
11732,1,3563.787256291389,4.758,1.480029,0.20055283953653052
34963,4,3750.746330494593,14.18,7.3242882,0.0
27449,4,4111.823430640454,7.889,5.9722312,0.02921165864046932
18697,3,3824.0245500800715,6.424,3.586982,0.08351610877937136
5843,2,3867.811517092908,1.951,2.8594796000000002,3.1616867119501086
2032,1,3631.3868180956583,0.54,1.765054,1.8115203264313844
177,1,3593.0452179990702,0.735,0.3105912,0.0
38385,3,4262.555335556943,11.967,6.4528335,0.029366648727074052
48163,4,5500.054416883274,23.913,2.5633651,0.0
160,1,4134.369186807991,0.665,0.8978385,22.393429908553998
20472,2,3705.3463789614093,6.772,4.773350300000001,0.18949350962445444
64993,2,5683.97365159831,19.761,3.6352522,0.03360992012195759
5472,2,5523.787996818254,1.971,1.9256400999999999,6.975734792052183
13052,7,4718.080330000138,4.668,7.0429082,0.7393853416912302
47550,5,4354.649892827611,17.131,6.5097847,0.0
7343,3,5160.514877908985,2.11,3.8281957999999996,6.4503190877416365
28756,3,5294.783138516557,9.602,4.4674659,0.6371769709575976
55242,5,5035.828694272422,18.446,7.6682329,0.0
1638,2,4680.664589147651,0.813,1.7737308999999999,6.0082089927443265
10620,4,5200.444141391858,5.273,3.9859608,1.9812579698719617
5310,4,4742.184839067226,1.899,3.5380338999999994,2.000354876830509
4006,5,5202.021616510422,1.432,3.4934801999999996,9.97777463347406
10511,2,2704.135124533642,3.021,3.8870099000000002,0.0
17230,2,4345.896868008226,4.952,3.9646592000000003,0.0
7051,3,1477.6164267860865,2.026,4.7718744,0.0
1498,1,2167.312402679389,2.449,1.6539541,2.097957931116439
2138,1,1474.5568891557823,3.496,1.4598282,5.586656260030305
7372,2,3752.874796365889,12.054,2.5908486,0.0
27847,3,4276.918451067883,13.227,3.777895,0.2807647761985531
22806,3,2887.0898806258942,16.82,4.850390900000001,0.882466068977948
44433,3,8670.298716987323,22.061,1.4027207000000002,0.0
160,1,8033.178170191949,0.665,0.790947,18.321251480938173
35224,7,4220.259629136484,10.439,7.6203973,1.5346668489459958
9094,4,2640.79282270443,4.515,4.477249,2.425546228731522
5125,2,6650.460028017107,0.729,2.956316,0.34029228464527
