Decision,ProjSize,TotalFilesProj,AverageBytes/s,Deadline,Diff
Accept,1514,1,1158.252391458401,0.294,0.0
Accept,7372,2,2534.9331387849647,12.054,0.0
Reject,110284,8,2534.9331387849647,48.773,2.7517837152201237
Accept,2615,2,1919.3458530222322,1.06,40.04309807706844
Accept,31719,5,4449.521872439156,6.177,0.0
Accept,33515,3,4346.855488760094,6.527,0.0
Accept,2138,1,3958.6988575207024,3.496,0.0
Accept,1498,1,3747.1051517778255,2.449,0.0
Accept,39437,3,4781.251636462641,20.935,1.0116609161023906
Accept,6888,2,4450.196931565128,1.548,1.2509796217215046
Accept,144,1,4340.31820334995,0.598,1.4090751804377308
Reject,35241,3,4340.31820334995,8.875,1.2629461468825705
Accept,9753,5,3213.051935748235,2.707,1.5393261106390448
Accept,2491,2,3924.108019599888,0.897,8.051784587530282
Accept,22613,8,3198.078638301497,5.817,1.403125961512332
Accept,11732,1,3563.787256291389,4.758,0.20055283953653052
Accept,34963,4,3750.746330494593,14.18,0.0
Accept,27449,4,4111.823430640454,7.889,0.02921165864046932
Accept,18697,3,3824.0245500800715,6.424,0.08351610877937136
Accept,5843,2,3867.811517092908,1.951,3.1616867119501086
Accept,2032,1,3631.3868180956583,0.54,1.8115203264313844
Accept,177,1,3593.0452179990702,0.735,0.0
Reject,52133,4,3593.0452179990702,16.873,1.733500264218803
Accept,38385,3,4262.555335556943,11.967,0.029366648727074052
Reject,66311,4,4262.555335556943,19.312,1.5213340176966628
Accept,48163,4,5500.054416883274,23.913,0.0
Accept,160,1,4134.369186807991,0.665,22.393429908553998
Reject,10832,5,4134.369186807991,2.6,1.3774850877597054
Accept,20472,2,3705.3463789614093,6.772,0.18949350962445444
Accept,64993,2,5683.97365159831,19.761,0.03360992012195759
Accept,5472,2,5523.787996818254,1.971,6.975734792052183
Accept,13052,7,4718.080330000138,4.668,0.7393853416912302
Accept,47550,5,4354.649892827611,17.131,0.0
Accept,7343,3,5160.514877908985,2.11,6.4503190877416365
Accept,28756,3,5294.783138516557,9.602,0.6371769709575976
Accept,55242,5,5035.828694272422,18.446,0.0
Accept,1638,2,4680.664589147651,0.813,6.0082089927443265
